20	-25.2
25	-7.2
31.5	-11.3
40	-5.3
50	-4.6
63	-4.7
80	-6.2
100	-10.7
125	-13.6
160	-11
200	-11.2
250	-8
315	-8
400	-3.6
500	-2
630	-1.4
800	-1.3
1000	0
1250	-0.5
1600	-4
2000	-2.9
2500	-3
3150	-3.8
4000	-2
5000	-1
6300	-0.3
8000	-0.8
10000	-1.1
12500	-1.6
16000	-1.1
20000	-1.6
